"ID","Area","Feature","User story","Expected behavior based on code","Code evidence","Feature status","Test status","Errors documented","Fix status","Retest status","Notes"
"F001","Onboarding","First launch permission education","As a new user I want a clear explanation before system permission prompts so I understand why the app asks for sensitive access.","First-time launch enters permission explanation before requesting permissions; the screen lists categorized permissions using resource-backed descriptions and continues into permission requests.","MainActivity.kt; PermissionExplanationScreen.kt; PermissionManager.kt; strings.xml","Documented","Static code inspection","None found in static inspection.","Not needed","Not run","Device/emulator validation required."
"F002","Onboarding","Runtime permission request flow","As a user I want Bluetooth, location, optional notification, and conditionally Wi-Fi Aware permissions requested only as needed so setup can complete without manual restart.","OnboardingCoordinator requests missing required permissions plus optional notification permission, checks critical required grants, routes to background location, completion, partial-warning completion, or error. Microphone is not part of onboarding.","MainActivity.kt; OnboardingCoordinator.kt; PermissionManager.kt","Documented","Static code inspection","None found in static inspection.","Not needed","Not run","Needs Android API matrix testing."
"F003","Onboarding","Bluetooth status check","As a user I want the app to detect disabled or unsupported Bluetooth and guide me to enable it so mesh chat can work.","Existing users are checked before app initialization unless BLE is disabled in debug settings; disabled or unsupported Bluetooth shows BluetoothCheckScreen; skip is session-scoped.","MainActivity.kt; BluetoothStatusManager.kt; BluetoothCheckScreen.kt; MainViewModel.kt","Documented","Static code inspection","None found in static inspection.","Not needed","Not run","Requires hardware or emulator capability checks."
"F004","Onboarding","Location services check","As a user I want the app to detect disabled or unavailable location services because Android BLE scanning depends on location state.","LocationCheckScreen appears when services are disabled or unavailable; enabled services allow onboarding to continue to battery optimization or permissions.","MainActivity.kt; LocationStatusManager.kt; LocationCheckScreen.kt","Documented","Static code inspection","None found in static inspection.","Not needed","Not run","Requires device settings manipulation."
"F005","Onboarding","Background location recommendation","As a user I want to decide whether to grant background location so mesh reliability can improve while I understand it is optional.","If Android version needs background location and it is not granted or skipped, the flow shows BackgroundLocationPermissionScreen with continue, retry, and skip paths.","MainActivity.kt; BackgroundLocationPermissionScreen.kt; BackgroundLocationPreferenceManager.kt; PermissionManager.kt","Documented","Static code inspection","None found in static inspection.","Not needed","Not run","Needs API 29+ testing."
"F006","Onboarding","Battery optimization prompt","As a user I want the app to explain battery optimization tradeoffs and let me disable or skip it so background mesh is reliable.","BatteryOptimizationScreen appears for existing users when optimization is enabled and not skipped; disable, retry, and skip paths are wired. First-time launch skips this check until after permissions.","MainActivity.kt; BatteryOptimizationManager.kt; BatteryOptimizationScreen.kt; BatteryOptimizationPreferenceManager.kt","Documented","Static code inspection","None found in static inspection.","Not needed","Not run","Requires vendor/device behavior testing."
"F007","Onboarding","Initialization and retry error screen","As a user I want failed startup to show a recoverable error with retry and settings actions.","Initialization verifies permissions, starts unified mesh services, handles notification/verification intents, and updates MainViewModel to COMPLETE. Failures update error state and show InitializationErrorScreen with retry and app settings actions; error strings are resource-backed.","MainActivity.kt; InitializingScreen.kt; InitializationErrorScreen.kt; strings.xml","Documented","Static code inspection","None found in static inspection.","Not needed","Not run","Can be unit tested with state transitions."
"F008","Lifecycle","Resume checks for disabled services","As a returning user I want the app to notice if Bluetooth or location was disabled in the background so messaging does not silently fail.","onResume reattaches the mesh delegate when onboarding is complete, rechecks Bluetooth and location, routes back to the relevant check screen if disabled, and starts Wi-Fi Aware when location is enabled.","MainActivity.kt","Documented","Static code inspection","None found in static inspection.","Not needed","Not run","Needs lifecycle instrumentation."
"F009","Background service","Foreground mesh service notification","As a user I want the mesh to keep running in the background with a persistent notification showing peer count.","MeshForegroundService.start only launches when background mode, Bluetooth/location, and notification permission gates allow it; onStartCommand creates or reuses mesh services, starts Wi-Fi Aware/BLE as eligible, promotes to foreground, updates peer count every 5 seconds, and clears the notification when eligibility is lost.","MeshForegroundService.kt; MeshServicePreferences.kt","Documented","Static code inspection","None found in static inspection.","Not needed","Not run","Requires Android foreground service validation."
"F010","Background service","Quit from foreground notification","As a user I want a notification action to fully quit bitchat so background network activity stops.","Notification action sends ACTION_QUIT; service cancels update work, stops foreground state, clears notification, stops mesh and Tor best-effort through AppShutdownCoordinator, clears AppStateStore, broadcasts UI force-finish, and kills the process after shutdown timeout.","MeshForegroundService.kt; AppShutdownCoordinator.kt; MainActivity.kt","Documented","Static code inspection","None found in static inspection.","Not needed","Not run","Needs notification interaction test."
